Date,Hour,Causeway Bay,Central,Mong Kok,Central/Western,Eastern,Kwai Chung,Kwun Tong,Sha Tin,Sham Shui Po,Tai Po,Tap Mun,Tsuen Wan,Tung Chung,Yuen Long
01/01/2000,0,71.0,75.0,84.0,43.0,52.0,56.0,67.0,49,66,50.0,40.0,68.0,37.0,55.0
,1,70.0,75.0,84.0,44.0,51.0,56.0,66.0,48,66,50.0,42.0,67.0,38.0,55.0
,2,70.0,74.0,84.0,46.0,51.0,56.0,66.0,47,65,50.0,46.0,67.0,38.0,55.0
,3,70.0,76.0,84.0,47.0,51.0,58.0,67.0,48,65,51.0,42.0,67.0,39.0,55.0
,4,71.0,76.0,83.0,48.0,52.0,59.0,67.0,49,65,51.0,43.0,67.0,40.0,56.0
,5,71.0,75.0,82.0,49.0,52.0,60.0,67.0,50,64,51.0,45.0,68.0,40.0,56.0
,6,72.0,75.0,83.0,50.0,52.0,61.0,68.0,50,63,52.0,45.0,69.0,40.0,56.0
,7,72.0,75.0,83.0,50.0,52.0,60.0,68.0,50,62,52.0,46.0,68.0,41.0,57.0
,8,72.0,74.0,83.0,51.0,51.0,58.0,68.0,51,61,52.0,47.0,67.0,41.0,57.0
,9,72.0,75.0,83.0,51.0,51.0,57.0,68.0,51,60,51.0,47.0,65.0,41.0,57.0
,10,72.0,75.0,83.0,51.0,51.0,56.0,68.0,50,61,51.0,47.0,66.0,42.0,56.0
,11,72.0,76.0,83.0,51.0,51.0,56.0,68.0,51,61,52.0,49.0,66.0,44.0,58.0
,12,71.0,76.0,83.0,51.0,51.0,59.0,68.0,51,61,52.0,54.0,68.0,46.0,58.0
,13,71.0,77.0,84.0,52.0,51.0,66.0,68.0,51,61,53.0,51.0,70.0,49.0,59.0
,14,72.0,78.0,85.0,52.0,51.0,74.0,69.0,52,62,53.0,51.0,73.0,51.0,60.0
,15,73.0,79.0,86.0,52.0,51.0,81.0,69.0,53,62,54.0,63.0,75.0,53.0,62.0
,16,74.0,80.0,86.0,52.0,52.0,89.0,69.0,53,61,55.0,52.0,75.0,61.0,64.0
,17,75.0,80.0,86.0,53.0,52.0,92.0,69.0,54,61,55.0,52.0,76.0,56.0,65.0
,18,76.0,81.0,87.0,53.0,52.0,96.0,68.0,54,61,56.0,52.0,77.0,57.0,65.0
,19,78.0,82.0,87.0,53.0,52.0,99.0,69.0,55,62,56.0,52.0,78.0,58.0,65.0
,20,81.0,83.0,88.0,54.0,53.0,104.0,70.0,55,63,56.0,52.0,78.0,58.0,64.0
,21,84.0,86.0,88.0,62.0,54.0,104.0,71.0,56,65,56.0,52.0,79.0,62.0,64.0
,22,86.0,87.0,88.0,66.0,55.0,103.0,72.0,56,66,57.0,52.0,81.0,65.0,65.0
,23,90.0,88.0,88.0,65.0,55.0,102.0,73.0,57,68,57.0,51.0,82.0,66.0,66.0
02/01/2000,0,92.0,88.0,89.0,65.0,56.0,101.0,74.0,58,69,57.0,51.0,82.0,66.0,66.0
,1,96.0,89.0,90.0,67.0,57.0,100.0,77.0,60,70,57.0,51.0,84.0,68.0,67.0
,2,101.0,90.0,91.0,71.0,58.0,99.0,80.0,62,72,58.0,52.0,85.0,69.0,68.0
,3,104.0,91.0,92.0,73.0,59.0,96.0,81.0,63,74,58.0,52.0,85.0,70.0,69.0
